Restaurant_Name,Link
Burmy Foods,https://www.swiggy.com/restaurants/burmy-foods-fun-mall-coimbatore-coimbatore-52239
Byte A Bit Shawarmaz,https://www.swiggy.com/restaurants/byte-a-bit-shawarmaz-hopes-peelamedu-coimbatore-223916
Cafe Blanca,https://www.swiggy.com/restaurants/cafe-blanca-gandhipuram-coimbatore-408600
Cafe Cake Bee,https://www.swiggy.com/restaurants/cafe-cake-bee-sai-baba-colony-coimbatore-166769
Cafe Coffee Day,https://www.swiggy.com/restaurants/cafe-coffee-day-prozone-mall-saravanampatti-coimbatore-289171
Cafe Coffee Day,https://www.swiggy.com/restaurants/cafe-coffee-day-race-course-gopalapuram-coimbatore-73534
Cafe Coffee Day,https://www.swiggy.com/restaurants/cafe-coffee-day-rs-puram-r-s-puram-west-coimbatore-73535
CAFEGRAM,https://www.swiggy.com/restaurants/cafegram-r-s-puram-coimbatore-424487
Cafe Infusions,https://www.swiggy.com/restaurants/cafe-infusions-gandhipuram-ram-nagar-coimbatore-69593
Cafe Quilon,https://www.swiggy.com/restaurants/cafe-quilon-ramanathapuram-coimbatore-379393
Cafe Totaram,https://www.swiggy.com/restaurants/cafe-totaram-hopes-dr-jaganathan-nagar-coimbatore-321449
Cafe Totaram,https://www.swiggy.com/restaurants/cafe-totaram-race-course-coimbatore-50169
Cake And Cafe,https://www.swiggy.com/restaurants/cake-and-cafe-hopes-coimbatore-398552
Cake Bee,https://www.swiggy.com/restaurants/cake-bee-1938-trichy-road-near-sowripalayam-pirivu-ramanathapuram-palaniappa-nagar-coimbatore-51020
Cake Bee,https://www.swiggy.com/restaurants/cake-bee-msrk-towers-bharathi-park-cross-2-saibaba-colony-coimbatore-51024
Cake Bee,https://www.swiggy.com/restaurants/cake-bee-peelamedu-indira-nagar-coimbatore-53333
Cake Kafe,https://www.swiggy.com/restaurants/cake-kafe-ganapathy-kk-nagar-coimbatore-206116
Cakes by Chocolates,https://www.swiggy.com/restaurants/cakes-by-chocolates-gandhipuram-balasundaram-layout-coimbatore-209110
CakeZone,https://www.swiggy.com/restaurants/cakezone-hopes-coimbatore-425423
Call For Cake,https://www.swiggy.com/restaurants/call-for-cake-gandhipuram-tatabad-coimbatore-57350
Canadian,https://www.swiggy.com/restaurants/canadian-coi-ganapathy-coimbatore-407658
CANA RESTAURANT,https://www.swiggy.com/restaurants/cana-restaurant-ramanathapuram-keelakarai-coimbatore-306617
Caramel Bakes & Pastries,https://www.swiggy.com/restaurants/caramel-bakes-and-pastries-peelamedu-coimbatore-85174
